0,1,2,3,4,5,6,7,maxval
1404.372826,353.212,1207.238452,351.553,28.4653,130.39,8.1773,10.5652,1404.372826
1558.834015,352.973,1205.913094,349.99,28.4448,130.443,8.17259,10.5684,1558.834015
73.9857,104.478,11.7386,100.737,74.2238,104.289,11.71,101.002,104.478
137.971,195.002,20.107,174.631,45.7895,111.713,10.472,9.25749,195.002
339.746,301.75,38.352,287.461,47.7515,116.745,10.8848,9.4643,339.746
594.555,347.945,243.727,383.043,46.5002,128.124,10.7535,10.5848,594.555
824.989,361.084,494.375,389.264,46.3763,129.373,10.6739,10.5956,824.989
1035.63,350.123,668.659,351.892,46.0793,129.386,10.336,10.5993,1035.63
1360.298504,351.507,1144.407371,352.666,46.0012,130.141,10.2032,10.6021,1360.298504
1540.926257,352.944,1186.054049,350.897,45.9477,130.632,10.0529,10.6029,1540.926257
21.3153,199.746,6.79541,136.692,21.3188,199.748,6.80824,136.684,199.748
91.372,364.903,14.7404,259.68,20.7929,203.376,6.85995,10.7116,364.903
326.836,643.111,27.206,474.728,20.144,205.586,6.37294,10.7244,643.111
680.227,807.627,191.113,521.69,20.2525,206.396,6.20911,10.7253,807.627
1071.36,786.481,455.012,497.7,20.3896,207.195,6.13308,10.7271,1071.36
1372.74,629.75,700.48,406.865,20.4984,207.398,6.14147,10.7304,1372.74
1909.078308,645.214,1412.100579,424.724,20.3853,207.402,6.08346,10.7397,1909.078308
2244.514234,645.714,1423.825267,423.108,20.4031,207.556,6.08379,10.7366,2244.514234
62.0452,32.4448,67.5671,92.1776,62.1376,32.47,67.6766,92.1776,92.1776
104.522,66.9174,104.784,145.747,75.783,34.0869,52.9232,9.36558,145.747
140.358,80.9233,162.004,176.56,96.1023,33.4319,53.8793,9.42637,176.56
196.155,92.1267,239.807,201.236,125.82,37.0345,64.8392,10.8434,239.807
269.396,97.0939,305.628,206.205,138.066,37.1726,67.5807,10.8771,305.628
364.884,99.8361,377.353,248.135,144.128,37.4204,68.9904,10.8913,377.353
446.985152,100.293,386.549868,254.201,147.566,37.5777,69.3449,10.8779,446.985152
499.679824,100.618,387.271072,253.79,145.521,37.1344,69.1582,10.8862,499.679824
69.6113,27.0081,35.5315,80.7213,69.7613,27.0307,35.4731,80.6208,80.7213
108.44,51.2172,90.165,128.705,86.5488,26.6798,34.7682,9.17626,128.705
159.947,78.0687,166.959,194.702,98.163,27.0448,31.688,9.22069,194.702
227.053,93.2663,252.146,211.997,114.734,30.062,32.3773,10.495,252.146
291.697,97.4152,303.58,207.703,120.262,30.167,32.2724,10.5153,303.58
384.633,99.9002,383.92,250.409,122.727,30.245,32.0299,10.5247,384.633
499.775331,100.596,379.089859,253.768,124.756,30.2276,31.9,10.5255,499.775331
550.060592,100.938,393.196833,253.667,122.96,29.9363,31.8158,10.5278,550.060592
13.2653,34.0988,73.4558,95.1666,13.2679,34.0665,73.4319,95.4589,95.4589
35.9438,66.4974,128.031,168.602,23.5875,41.3344,95.936,10.8001,168.602
67.5233,109.365,246.356,233.228,49.5503,45.4147,81.4867,11.0042,246.356
128.348,120.196,388.975,224.706,84.7942,47.7593,72.9664,11.0919,388.975
126.687,100.882,268.737,216.985,114.065,40.3006,71.2618,11.0674,268.737
193.495,106.701,351.727,250.192,164.033,40.956,75.712,11.0952,351.727
172.408023,108.989,332.869727,266.971,203.44,41.1855,78.3843,11.1032,332.869727
272.226173,110.613,368.233674,269.752,229.742,40.8243,79.6194,11.0974,368.233674
34.0068,10.8264,59.2025,64.8327,34.0131,10.8406,59.1308,64.8478,64.8478
74.3647,23.2299,103.745,115.42,56.9449,13.5091,76.9023,10.739,115.42
133.124,28.9285,171.085,134.391,89.0559,13.9558,94.573,10.992,171.085
151.605,34.3462,227.363,101.937,105.102,13.4593,107.441,11.1116,227.363
140.76,33.6044,181.303,94.536,105.014,12.8675,113.099,11.1741,181.303
